"GeoName","FIPS","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2013","Y2014","Y2015","Y2016","Y2017"
"Deltona-Daytona Beach-Ormond Beach, FL","19660","0.0095","0.04","0.0144","0.0557","0.0338","0.0079","-0.0638","-0.067","-0.0117","-0.0144","0.0461","-0.0015","0.0237","0.0189","0.007"
"Denver-Aurora-Lakewood, CO","19740","0.0264","7e-04","0.0156","0.0376","0.0305","0.0128","0.0178","-0.0211","0.0262","0.0173","0.013","0.0597","0.046","0.0124","0.0358"
"Des Moines-West Des Moines, IA","19780","0.0256","0.0609","0.0862","0.0475","-0.0062","0.1028","-0.0773","0.0023","0.0169","0.0293","-7e-04","0.0497","0.0957","0.0528","0.0289"
"Detroit-Warren-Dearborn, MI","19820","0.0167","0.0158","-0.0178","0.0073","-0.0355","0.005","-0.0645","-0.1186","0.0584","0.0487","0.0056","0.0193","0.0239","0.0163","0.0269"
"Dothan, AL","20020","0.0698","0.0373","0.0455","0.0464","0.0073","0.0051","-0.0494","-0.041","0.0374","-0.0203","-0.0042","-0.0056","-0.0018","0.0219","0.0144"
"Dover, DE","20100","0.0266","0.0192","0.0616","0.0023","0.0143","0.024","-0.0152","0.0488","-0.0485","-0.0076","0.0129","0.0309","0.0188","0.0152","0.0079"
"Dubuque, IA","20220","0.0549","0.0242","0.0818","0.0227","0.01","0.0206","-0.0356","-0.0361","0.0694","0.0443","-0.0702","0.0397","0.0442","0.0192","0.0287"
"Duluth, MN-WI","20260","0.0653","8e-04","0.0195","-0.0201","-0.0285","0.0062","0.0018","-0.0457","0.038","0.0203","0.0258","0.0202","-0.1053","0.0884","0.0069"
"Durham-Chapel Hill, NC","20500","0.0673","0.0375","0.0056","0.0536","0.169","0.0845","0.0177","0.0247","0.0542","-0.035","0.0821","0.013","-0.0172","-0.036","-3e-04"
"East Stroudsburg, PA","20700","0.0546","-0.0036","0.0383","0.0311","0.021","0.0454","0","-0.0152","-0.0172","-0.0208","0.0016","-0.0298","0.0185","0.0185","0.0269"
"Eau Claire, WI","20740","0.0495","0.0284","0.0336","0.0795","0.0244","0.0046","-0.0372","5e-04","0.0477","-0.0102","-0.0113","0.0337","0.0466","-0.0037","0.0297"
"El Centro, CA","20940","0.1317","0.0011","-0.0274","0.0643","0.0468","-0.0072","0.0592","0.0318","-0.0473","-0.0447","0.0079","-0.0411","0.072","0.0131","-0.0102"
"El Paso, TX","21340","0.0361","0.0056","0.01","0.0207","0.0513","0.0032","0.0115","-0.0144","0.0412","0.0435","-0.0059","-0.0138","0.0232","0.0109","0.0034"
"Elizabethtown-Fort Knox, KY","21060","0.014","0.0358","0.0338","0.0014","0.0381","-0.0262","0.0104","-0.0082","0.1609","0.0727","-0.0249","-0.0116","-0.0534","0.0133","0.0239"
"Elkhart-Goshen, IN","21140","0.0909","0.0972","0.0447","0.0377","0.0308","0.0419","-0.1405","-0.2409","0.2807","0.0139","0.0612","0.076","0.0495","0.0586","0.1131"
"Elmira, NY","21300","-0.0052","0.004","0.0223","0.042","-0.0053","0.0062","0.0201","-0.0455","0.0784","0.0219","-0.0203","-0.0134","-0.0203","-0.0375","-0.0031"
"Erie, PA","21500","-0.0201","-0.0059","0.0312","0.0114","0.0013","0.0195","-0.0124","-0.0557","-0.0023","0.0529","0.0186","-0.0187","3e-04","-0.0216","-0.0082"
"Eugene, OR","21660","0.0556","0.0234","0.0536","0.019","0.0508","0.0327","0.0161","-0.1057","0.0254","0.0225","0.0058","0.0022","0.0532","0.0171","0.02"
"Evansville, IN-KY","21780","0.0541","0.0142","-0.0025","-0.0227","-0.0058","-0.0078","-0.0207","-0.012","0.0282","0.0183","-0.0166","-0.0236","-0.0093","0.0158","0.0098"
"Fairbanks, AK","21820","0.0311","0.0426","0.0327","0.0062","0.0295","-0.0095","0.0325","-0.0625","0.0068","0.0242","-0.0662","0.0121","-0.0155","0.0144","-0.0092"
"Fargo, ND-MN","22020","0.054","0.028","0.0401","0.0255","0.0282","0.0369","0.0784","0.0065","0.0588","0.0308","0.0233","0.061","0.0179","0.0329","0.0178"
"Farmington, NM","22140","-0.0088","-0.0272","0.047","-0.0546","0.0397","0.0071","-0.0328","0.06","-0.0905","0.049","-0.0468","0.0366","0.0032","-0.0629","0.029"
