"FIPS","Metro-Name","Population","PCT female","PCT 0-4","PCT 5-9","PCT 10-14","PCT 15-17","PCT 18-24","PCT 25-34","PCT 35-44","PCT 45-54","PCT 55-64","PCT 65-74","PCT 75-84","PCT 85 plus","PCT married","PCT less than HS","PCT BS plus","PCT MS plus","PCT unemployed","Median HH Income","Gini Index","PCT Occupied Housing","Median Gross Rent","Commute under 10","Commute 10-19","Commute 20-29","Commute 30-39","Commute 40-59","Commute 60-89","Commute 90 plus","PCT Health Insured","PCT Public HI","PCT Private HI"
30900,"Logansport, Indiana",38248,50.09,6.07,5.89,7.23,4.52,8.48,11.38,12.48,13.67,13.45,9.18,5.13,2.51,51.84,16.87,13.36,4.36,6.44,45558,0.4285,90.49,640,20.45,37.25,16.82,11.1,6.76,3.51,1.94,88.06,33.38,68.61
31140,"Louisville/Jefferson County, Indiana",282353,51.04,6.05,5.99,6.89,4.08,8.25,12.51,12.97,14.25,13.84,9.13,4.15,1.88,50.48,11.79,20.37,7.06,5.79,53453,0.4267,87.64,763,10.92,27.99,21.35,18.32,12.86,3.53,1.38,91.04,31.67,72.63
31500,"Madison, Indiana",32293,52.26,5.6,5.31,5.65,4.13,10.87,11.49,12.34,13.89,14.51,9.62,4.55,2.03,48.89,10.97,17.43,6.91,6.94,50722,0.4177,87.93,723,20.68,32.01,14.38,8.71,11.24,6.64,2.4,90.92,34.15,71.1
31980,"Marion, Indiana",67615,52.14,5.46,6.19,5.55,3.61,13.31,10.49,10.66,12.93,13.84,9.91,5.31,2.73,46.42,13,17.09,6.69,7.59,42046,0.4079,85.78,676,26.12,36.57,15.35,6.34,5.82,3.07,1.69,89.84,41.1,64.25
33140,"Michigan City-La Porte, Indiana",110839,48.38,5.96,5.77,6.2,3.96,8.47,12.99,12.46,13.78,14.11,9.68,4.74,1.89,47.67,12.13,17.82,6.25,7.96,49921,0.4376,87.68,729,19.08,31.93,17.66,12.69,9.25,4.03,1.67,90.35,37.04,66.87
34620,"Muncie, Indiana",115938,51.78,5,5.11,5.3,3.54,19.64,11.06,10.25,12.01,11.84,9.1,4.97,2.18,41.7,10.52,23.95,10.11,7.92,41208,0.473,87.92,708,19.85,40.51,15.19,8.99,5.48,4.29,2.3,90.12,33.46,69.87
35220,"New Castle, Indiana",48649,48.09,4.96,5.57,6.23,4.04,8.38,12,12.61,14.34,13.85,10.29,5.55,2.18,47.3,11.32,16.53,5.52,7.02,46131,0.4365,85.3,687,17.9,25.67,15.09,13.67,13.01,8.35,2.39,90.07,39.07,67.48
35860,"North Vernon, Indiana",27840,49.77,5.94,7.59,5.6,4.79,8.99,10.77,12.57,15.3,13.27,9.38,4.44,1.37,51.22,14.58,10.7,3.34,6,48362,0.3887,87.87,735,12.85,26.2,22.12,19.47,9.37,3.94,2.99,89.15,36.29,66.03
37940,"Peru, Indiana",36035,47.23,5.42,6.16,6.29,3.9,9.2,12.8,12.75,13.77,13.12,9.68,4.78,2.11,51.18,14.67,12.61,4.8,7.79,46666,0.4251,87.34,706,16.98,30.92,23.32,12.68,6.29,5.02,2.85,90.2,37.89,68.83
38500,"Plymouth, Indiana",46752,50.27,6.24,7.01,7.32,4.79,8.7,10.63,11.74,13.73,13.33,9.01,4.83,2.67,54.18,14.93,19.77,7.37,6.76,51869,0.4176,85.79,681,21.76,30.62,15.5,10.54,12.15,4.44,1.54,86.78,32.59,65.72
39980,"Richmond, Indiana",66972,51.64,5.85,6.13,6.28,3.92,9.28,11.35,11.65,13.63,13.76,9.8,5.63,2.73,47.7,14.51,18.16,7.48,6.53,41813,0.4753,84.27,665,21.78,41.76,14.81,6.7,5.44,4.43,1.48,87.01,39.52,61.42
42980,"Seymour, Indiana",43779,50.07,6.66,6.67,6.99,4.21,7.92,12.3,13.52,13.48,12.77,8.87,4.88,1.75,54.25,13.07,15.87,5.35,6.16,49080,0.4003,87.94,729,21.69,31.39,20.92,12.49,6.81,3.65,1.14,89.69,31.44,70.71
43780,"South Bend-Mishawaka, Indiana",268613,51.43,6.48,6.41,6.89,4.14,11.13,13.02,11.82,12.49,12.88,8.1,4.26,2.37,45.9,12.12,28.45,11.03,6.43,48121,0.4689,86.75,743,12.59,37.62,24.23,12.78,6.01,1.71,1.28,89.95,32.16,68.82
45460,"Terre Haute, Indiana",170642,49.31,5.71,5.97,5.79,3.69,12.52,12.44,12.12,12.93,12.96,9.08,4.48,2.32,45.95,11.64,19.94,7.28,6.95,44120,0.4467,87.85,697,17.68,35.06,20.74,12.08,6.76,2.96,2.15,90.25,37.08,66.87
47180,"Vincennes, Indiana",37763,48.98,5.73,6.37,5.26,3.83,13.25,11.68,10.93,12.66,13.44,9.29,5.86,1.72,48.37,11.81,16.05,5.83,5.45,44837,0.4257,87.79,663,29.04,34.16,16.42,9.46,4.55,3.57,1.3,90.08,36.34,68.24
